sub	ses	run	fd_mean	dvars_mean
sub-0098	ses-01	run-01	0.09540426704707228	32.60597245120551
sub-0098	ses-01	run-02	0.10571716985304246	38.09333528013777
sub-0098	ses-01	run-03	0.10251764566475312	37.31274128013778
sub-0098	ses-01	run-04	0.13490440193915038	34.14371908381171
sub-0098	ses-01	run-05	0.14056764071641786	35.181803359357055
sub-0098	ses-01	run-06	0.12911766167049366	34.209807812858784
sub-0098	ses-03	run-01	0.14707300045924218	35.306526
sub-0098	ses-03	run-02	0.16923459206943742	33.36970896555683
sub-0098	ses-03	run-03	0.22163391649368538	35.112598890929966
sub-0098	ses-03	run-04	0.15397790881056256	35.62340118599311
sub-0098	ses-03	run-05	0.15318973097726749	33.391009776119404
sub-0098	ses-03	run-06	0.24509598585763484	37.30375130309989
sub-0098	ses-04	run-01	0.2463764908633754	35.54769884385764
sub-0098	ses-04	run-02	0.24197674246842704	33.39342254305396
sub-0098	ses-04	run-03	0.14052501670264061	35.116243208955225
sub-0098	ses-04	run-04	0.26756624031572906	34.88616077382319
sub-0098	ses-04	run-05	0.2414053141731343	36.81383454879449
sub-0098	ses-04	run-06	0.35077389480964405	37.43076160045924
