sub	ses	run	fd_mean	dvars_mean
sub-0041	ses-01	run-01	0.1781722111786452	37.30782725832376
sub-0041	ses-01	run-02	0.1368336926851894	39.64283048564867
sub-0041	ses-01	run-03	0.1357035554730195	37.40744250172216
sub-0041	ses-01	run-04	0.12255269561814004	37.682200194029846
sub-0041	ses-01	run-05	0.11858143808381168	37.49090445694604
sub-0041	ses-01	run-06	0.20877940113892074	38.34245621354765
sub-0041	ses-03	run-01	0.12046741581469571	37.56091491963261
sub-0041	ses-03	run-02	0.14535722387859423	35.86515935782748
sub-0041	ses-03	run-03	0.11839286402055105	35.58160909988519
sub-0041	ses-03	run-04	0.11081869060587826	35.50737744202066
sub-0041	ses-03	run-06	0.1285376205809414	32.74975736854191
