sub	ses	run	fd_mean	dvars_mean
sub-0024	ses-01	run-01	0.077902294724225	34.69176556027554
sub-0024	ses-01	run-02	0.19919432034305626	34.325732290470725
sub-0024	ses-01	run-03	0.12738096432176804	31.7635050206659
sub-0024	ses-01	run-05	0.1290223687813475	33.2896682456946
sub-0024	ses-01	run-06	0.11775971181849135	33.544365389207805
sub-0024	ses-03	run-01	0.11350567569001145	39.640897871412164
sub-0024	ses-03	run-02	0.10944454316509755	40.11711465212399
sub-0024	ses-03	run-03	0.20199608728128585	35.0980951836969
sub-0024	ses-03	run-04	0.13023883995120547	35.31272380252583
sub-0024	ses-03	run-05	0.124986188524225	37.82491912629162
sub-0024	ses-04	run-02	0.13655346243168767	36.09203430998852
sub-0024	ses-04	run-03	0.13220008061951777	33.55642549827784
sub-0024	ses-04	run-04	0.13418488420321464	35.250239237657865
sub-0024	ses-04	run-06	0.12305415722847299	36.329173284730196
