sub	ses	run	fd_mean	dvars_mean
sub-0026	ses-01	run-01	0.08882707034698045	33.617018497129735
sub-0026	ses-01	run-02	0.08217387972897193	34.13514888317757
sub-0026	ses-01	run-03	0.09314818013331799	35.50574427554535
sub-0026	ses-01	run-04	0.09225134203559122	31.772974095292764
sub-0026	ses-01	run-05	0.09504041585878296	35.18033788289323
sub-0026	ses-01	run-06	0.08695895061256022	38.93462335246842
sub-0026	ses-03	run-01	0.0917825551302181	35.00212480826636
sub-0026	ses-03	run-02	0.09885408834071178	34.11955974971298
sub-0026	ses-03	run-03	0.09901494995109066	39.95004803099885
sub-0026	ses-03	run-04	0.10815107386532717	37.47283499655568
sub-0026	ses-03	run-05	0.0933852310665901	33.21885792537313
sub-0026	ses-03	run-06	0.11765224239334095	36.47200230080368
sub-0026	ses-04	run-01	0.09042653881699193	32.95720851205511
sub-0026	ses-04	run-02	0.09634822164638342	33.1637124270953
sub-0026	ses-04	run-03	0.0976015299655568	31.391294267508613
sub-0026	ses-04	run-04	0.10012566748656714	35.48416694833525
sub-0026	ses-04	run-05	0.10333196741446608	32.03903231802526
sub-0026	ses-04	run-06	0.09151278591274392	32.192058150401834
