sub	ses	run	fd_mean	dvars_mean
sub-0051	ses-01	run-01	0.18658311665602753	38.56758121469575
sub-0051	ses-01	run-02	0.2512110191044776	39.012183165327215
sub-0051	ses-01	run-03	0.20217598938461534	38.646436208955215
sub-0051	ses-01	run-04	0.20064960206429389	37.68977411481057
sub-0051	ses-01	run-05	0.2469665757324914	42.09271494374282
sub-0051	ses-01	run-06	0.2672881437347876	38.146134112514346
sub-0051	ses-03	run-01	0.17835951671699193	49.838847180252586
sub-0051	ses-03	run-02	0.21062051602110216	41.5393135706085
sub-0051	ses-03	run-03	0.14397166754879445	43.61820058438577
sub-0051	ses-03	run-04	0.27058191789552233	40.91444255338691
sub-0051	ses-03	run-05	0.22848031287600457	44.340139614236506
sub-0051	ses-03	run-06	0.1627888486727899	41.36361937657865
sub-0051	ses-04	run-01	0.24241975998277837	41.66159215499427
sub-0051	ses-04	run-02	0.19619374416296664	41.746549704936854
sub-0051	ses-04	run-03	0.1504007995947187	41.139328219288174
sub-0051	ses-04	run-04	0.16508770892537308	39.81916705396097
sub-0051	ses-04	run-05	0.21528613947876002	39.590192362801375
sub-0051	ses-04	run-06	0.25561439171067735	40.52880359816302
