sub	ses	run	fd_mean	dvars_mean
sub-0016	ses-01	run-01	0.10994358393639493	40.46322254764638
sub-0016	ses-01	run-02	0.121174101641791	40.45644905396097
sub-0016	ses-01	run-03	0.12937366206659007	37.56047147761194
sub-0016	ses-01	run-04	0.14051109581340984	41.027772639494835
sub-0016	ses-01	run-05	0.12903035540275543	41.154233211251444
sub-0016	ses-01	run-06	0.12631353874190582	41.825362645235366
sub-0016	ses-03	run-01	0.14818401553168767	38.49297083467279
sub-0016	ses-03	run-02	0.12589103271067734	40.9940160390356
sub-0016	ses-03	run-03	0.14463323712055107	39.40511025947187
sub-0016	ses-03	run-04	0.13603876359586678	36.85184475774972
sub-0016	ses-03	run-05	0.12870452583467276	37.01328107921929
sub-0016	ses-03	run-06	0.1864805121102181	38.907449314580944
sub-0016	ses-04	run-01	0.11172508305740525	36.555411997703786
sub-0016	ses-04	run-02	0.10611748130539607	37.93344130080367
sub-0016	ses-04	run-03	0.1264589380838323	34.08817470958084
sub-0016	ses-04	run-04	0.12854187209644083	37.52864222617681
sub-0016	ses-04	run-05	0.09732873856332946	38.14095690355912
sub-0016	ses-04	run-06	0.10953956269230765	36.474136802525834
