sub	ses	run	fd_mean	dvars_mean
sub-0006	ses-01	run-01	0.13978141365442018	36.119373855338694
sub-0006	ses-01	run-02	0.14927332526521236	34.374184485648684
sub-0006	ses-01	run-03	0.25267481098048217	35.865622003444315
sub-0006	ses-01	run-04	0.23455739385763488	35.728329652123996
sub-0006	ses-01	run-05	0.2829075791216991	37.95794637198622
sub-0006	ses-01	run-06	0.3893239633524684	37.335198470723306
sub-0006	ses-03	run-01	0.1811577490252583	34.784832399540754
sub-0006	ses-03	run-02	0.18490754546268653	35.155111967853045
sub-0006	ses-03	run-03	0.1511857880734787	33.88275482319173
sub-0006	ses-03	run-04	0.1702582345972445	35.60028175315729
sub-0006	ses-03	run-05	0.226567017055109	34.80987460734788
sub-0006	ses-03	run-06	0.1667762236004592	35.70456012514351
sub-0006	ses-04	run-01	0.21005506251549938	36.79202898163031
sub-0006	ses-04	run-02	0.14116588871526975	38.37074417221584
sub-0006	ses-04	run-03	0.14731767659655565	35.57978955338691
sub-0006	ses-04	run-04	0.17361141367795632	37.28147611825488
sub-0006	ses-04	run-05	0.12039893131171064	36.85503917451205
sub-0006	ses-04	run-06	0.17399082534730193	37.31841058438576
