sub	ses	run	fd_mean	dvars_mean	globalsignal_mean
sub-0001	ses-01	run-01	0.11018828077649251	36.569909933768656	3269.4362698098034
sub-0001	ses-01	run-02	0.11272829429616493	32.98174742474674	3249.0076881960217
sub-0001	ses-01	run-03	0.12083537894403937	32.85038568669951	3251.595309948805
sub-0001	ses-01	run-04	0.10932563708402657	36.53260042262895	3250.3763604845376
sub-0001	ses-02	run-01	0.11624098582775116	37.70075081339713	3222.3804587327977
sub-0001	ses-02	run-02	0.12401031901127288	36.25740481175837	3190.411052073936
sub-0001	ses-02	run-03	0.0885695694811795	36.078976314830875	3182.163876051726
sub-0001	ses-02	run-04	0.09362452686637456	35.47053684227821	3174.8292039452995
sub-0001	ses-03	run-01	0.08978276570710568	34.65425588388215	3115.9404512591614
sub-0001	ses-03	run-02	0.18106467881188862	34.71095379533484	3077.193272381404
sub-0001	ses-03	run-03	0.11317839836277356	34.808788177358494	3118.5425851234036
sub-0001	ses-04	run-01	0.14093840865533594	38.77970602134387	3229.228746482027
sub-0001	ses-04	run-02	0.12636957390688908	35.1952261022605	3205.428149687802
