sub	ses	run	fd_mean	dvars_mean	globalsignal_mean
sub-0044	ses-01	run-01	0.0881470174033022	38.6964729533582	4103.085785402631
sub-0044	ses-01	run-02	0.12362076910225452	36.512438225454545	4122.718532687153
sub-0044	ses-01	run-03	0.09823921976856154	38.639868903448274	4100.158804416044
sub-0044	ses-01	run-04	0.11261094946167215	37.24003927152318	4109.436098733336
sub-0044	ses-02	run-01	0.09152359281670641	41.32702555608592	3479.01041711247
sub-0044	ses-02	run-02	0.11692000037997843	38.41798428094725	3457.936389082692
sub-0044	ses-02	run-03	0.11789852742662053	37.17469922817632	3486.5428817444326
sub-0044	ses-02	run-04	0.09708052649903612	40.26705978422782	3460.2566027800663
sub-0044	ses-03	run-01	0.09680441348702418	37.23937610380623	3723.97585806574
sub-0044	ses-03	run-02	0.08478066420839576	37.69134233583208	3736.2748097215017
sub-0044	ses-03	run-03	0.09091378590601501	41.241946992481196	3759.356825120513
sub-0044	ses-04	run-01	0.13599388468902918	35.870300712707184	4040.774515046105
sub-0044	ses-04	run-02	0.10683045320789188	37.429013812972975	4088.574232705364
