sub	ses	run	fd_mean	dvars_mean	globalsignal_mean
sub-0026	ses-01	run-01	0.08435138297947757	33.001926082089554	3486.9619783104495
sub-0026	ses-01	run-02	0.09911113722909086	32.21599090690909	3483.3371151650317
sub-0026	ses-01	run-03	0.10717346508847288	36.14024281280789	3477.9574802681
sub-0026	ses-01	run-04	0.08764715387201984	37.541972476821186	3461.8613059861104
sub-0026	ses-02	run-01	0.08966078795107392	31.812464729116943	3940.3735110470975
sub-0026	ses-02	run-02	0.09415810447147467	32.55687807427341	3937.9075342322267
sub-0026	ses-02	run-03	0.0844744258833189	39.34374473120138	3935.4480863550352
sub-0026	ses-02	run-04	0.09873526058194956	39.165651467688946	3936.4825564099483
sub-0026	ses-03	run-01	0.08883623373442903	34.132358038062286	3646.425689500375
sub-0026	ses-03	run-02	0.0970755161547226	32.887874256371816	3649.424357386363
sub-0026	ses-03	run-03	0.08165732105206762	38.44755352161654	3609.906782681631
sub-0026	ses-04	run-01	0.09551878474183106	33.20617162352012	3488.839412030587
sub-0026	ses-04	run-02	0.0922824548552432	37.139747842162166	3476.304676163762
