sub	ses	run	fd_mean	dvars_mean	globalsignal_mean
sub-0010	ses-01	run-01	0.11372322771082086	36.15305830783583	3730.4775210037305
sub-0010	ses-01	run-02	0.12916522393665453	37.96544429090909	3719.7368094080416
sub-0010	ses-01	run-03	0.13306435204679798	35.581833900492605	3735.237665353968
sub-0010	ses-01	run-04	0.1319052279730132	36.06700324006623	3737.3156155113675
sub-0010	ses-02	run-01	0.12114887088066822	35.39013533054892	3897.970161803404
sub-0010	ses-02	run-02	0.11963172667438102	36.16342814639397	3895.885887761753
sub-0010	ses-02	run-03	0.11841714791184094	36.25834915730337	3911.6393592972317
sub-0010	ses-02	run-04	0.1491524820427163	34.44976747316539	3917.8262516191908
sub-0010	ses-03	run-01	0.12524142219636675	37.38733189186851	3773.5296864416073
sub-0010	ses-03	run-02	0.1543814781825337	33.75779351124438	3782.000195735662
sub-0010	ses-03	run-03	0.12983883401691723	35.164086881578946	3803.2591957567092
sub-0010	ses-04	run-01	0.12510539408666135	36.95141555564326	3745.1122397161325
sub-0010	ses-04	run-02	0.14057756275437835	34.422922805405406	3723.3628679565445
