sub	ses	run	fd_mean	dvars_mean	globalsignal_mean
sub-0001	ses-02	run-01	0.1249343225010683	37.76152661858974	3215.3004136222958
sub-0001	ses-02	run-02	0.1041100452665406	37.36689896408317	3177.1882244836806
sub-0001	ses-02	run-03	0.0903638714109483	38.28998909868929	3191.416424773899
sub-0001	ses-02	run-04	0.0983474542839826	35.04834825627705	3181.735649622549
sub-0002	ses-02	run-01	0.1952688579561076	35.93352764182195	3099.432178506644
sub-0002	ses-02	run-02	0.1510307207666362	32.98371692798542	3107.6454549116493
sub-0002	ses-02	run-03	0.2423101017409406	34.399049533538935	3089.5516410099167
sub-0002	ses-02	run-04	0.3317748845844155	39.87848058961039	3082.70900678019
sub-0003	ses-02	run-01	0.1043923810627328	35.489085383022775	3245.780798862452
sub-0003	ses-02	run-02	0.1195341592105742	31.438646551504103	3262.0573726528087
sub-0003	ses-02	run-03	0.1088447770703931	41.017935428681575	3253.354929574676
sub-0003	ses-02	run-04	0.0952760128900432	33.66546461904762	3260.4054732292207
sub-0004	ses-02	run-01	0.1071821803758177	34.93790391925466	3732.1915490488113
sub-0004	ses-02	run-02	0.1425270583783044	34.006618112123974	3738.654592202021
sub-0004	ses-02	run-03	0.1279597176363145	34.07036331996916	3688.8654255992856
sub-0004	ses-02	run-04	0.1523556366147185	34.050276131601734	3710.318293724081
sub-0005	ses-02	run-01	0.0797109703074533	31.99716185714286	3745.5785843134063
sub-0005	ses-02	run-02	0.1057496682961895	43.1792066827712	3753.663974414147
sub-0005	ses-02	run-03	0.0905760118205859	37.68451862451811	3736.649753782214
sub-0005	ses-02	run-04	0.0951083257793939	35.53156402597402	3743.112445930587
sub-0006	ses-02	run-01	0.2471072342380952	36.12236537163562	3371.740995869183
sub-0006	ses-02	run-02	0.2255242457024612	36.8713493609845	3419.1322819571965
sub-0006	ses-02	run-03	0.4753750767609869	42.1998250693909	3357.6376866394207
sub-0006	ses-02	run-04	0.2356960051549783	33.841843359307354	3344.333108605036
sub-0007	ses-02	run-01	0.1288043947918219	38.3742225610766	3566.995817159032
sub-0007	ses-02	run-02	0.1202230823845031	38.38376020328168	3556.031794609307
sub-0007	ses-02	run-03	0.1135084987555898	40.24812538781804	3545.693297019788
